activity_id,deal_id,activity_type,activity_date,details
129,38,call,2025-05-13,"{""call_duration"": 156, ""outcome"": ""negative"", ""notes"": ""Suggest including conference throughout task.""}"
130,38,demo,2025-05-20,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Article fire season positive.""}"
131,38,call,2025-05-23,"{""call_duration"": 496, ""outcome"": ""negative"", ""notes"": ""Age general describe stay fight.""}"
132,39,meeting,2025-06-01,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Type interview environment arm deep.""}"
133,40,call,2026-01-11,"{""call_duration"": 161, ""outcome"": ""neutral"", ""notes"": ""Key similar question analysis.""}"
134,40,email,2026-01-17,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Message industry couple.""}"
135,40,email,2026-01-27,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Memory wife plant west tax.""}"
136,40,meeting,2026-01-29,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Maybe suffer total sport character a apply.""}"
137,40,call,2026-02-08,"{""call_duration"": 251, ""outcome"": ""positive"", ""notes"": ""If raise finally evidence specific within already seek.""}"
138,40,demo,2026-02-18,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Sometimes tax need.""}"
139,41,demo,2025-12-23,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Student require deep staff wide.""}"
140,42,demo,2025-05-08,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Medical quickly church throughout.""}"
141,42,meeting,2025-05-12,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Meeting whose whatever five we.""}"
142,43,call,2025-11-13,"{""call_duration"": 74, ""outcome"": ""neutral"", ""notes"": ""Organization white paper hundred learn four hand price.""}"
143,43,email,2025-11-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Speech run need drop.""}"
144,44,meeting,2025-04-14,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Doctor option series everybody never year.""}"
145,44,demo,2025-04-15,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Hold possible attorney hold himself shake could view.""}"
146,45,demo,2026-01-06,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Certainly growth view.""}"
147,45,meeting,2026-01-11,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Foot base not end win green.""}"
148,45,demo,2026-01-15,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Central strategy hundred account arm.""}"
149,46,demo,2025-10-12,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Performance community involve rate.""}"
150,46,meeting,2025-10-13,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Mean worker need interview image up specific.""}"
151,46,demo,2025-10-14,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Very result head new employee realize feeling.""}"
152,46,call,2025-10-17,"{""call_duration"": 100, ""outcome"": ""negative"", ""notes"": ""Middle century might improve voice employee.""}"
153,47,meeting,2025-06-20,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Seem blue score.""}"
154,47,call,2025-06-25,"{""call_duration"": 280, ""outcome"": ""positive"", ""notes"": ""Thought partner so charge establish worker.""}"
155,47,call,2025-06-28,"{""call_duration"": 491, ""outcome"": ""negative"", ""notes"": ""Nation follow quality without more father around.""}"
156,47,demo,2025-07-05,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Billion smile spring why seat way decide.""}"
157,47,email,2025-07-11,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Character true wonder prevent but.""}"
158,48,demo,2025-05-12,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Top white score animal where forward guess company.""}"
159,48,meeting,2025-05-21,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Just quickly study finish despite prove understand.""}"
160,48,call,2025-05-31,"{""call_duration"": 450, ""outcome"": ""positive"", ""notes"": ""Into stuff mention drive.""}"
161,48,call,2025-06-05,"{""call_duration"": 204, ""outcome"": ""neutral"", ""notes"": ""Ever personal both anyone natural provide pattern.""}"
162,49,demo,2025-10-11,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Career for my stock single commercial off over.""}"
163,49,demo,2025-10-12,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Many hour may activity southern simply.""}"
164,49,email,2025-10-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Interesting defense marriage apply heavy significant court.""}"
165,49,demo,2025-10-22,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Plant reason offer decade fear other.""}"
166,50,email,2025-09-21,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Cost business lot movement message spring skill.""}"
167,50,call,2025-09-26,"{""call_duration"": 156, ""outcome"": ""positive"", ""notes"": ""Dog quickly though three election adult.""}"
168,50,call,2025-09-29,"{""call_duration"": 589, ""outcome"": ""positive"", ""notes"": ""Anything need minute admit service where.""}"
169,51,meeting,2025-11-24,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""How plan leave project difference understand draw bill.""}"
170,52,demo,2025-09-26,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""History short list ok.""}"
171,52,call,2025-09-29,"{""call_duration"": 539, ""outcome"": ""positive"", ""notes"": ""Mention although usually question issue.""}"
172,53,demo,2025-09-16,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Report run us street election.""}"
173,53,email,2025-09-24,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Performance under know somebody.""}"
174,53,demo,2025-10-02,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Hit claim represent tell need if.""}"
175,53,call,2025-10-03,"{""call_duration"": 320, ""outcome"": ""negative"", ""notes"": ""But more must defense dog why tonight.""}"
176,53,call,2025-10-10,"{""call_duration"": 392, ""outcome"": ""neutral"", ""notes"": ""Huge worry social table call idea.""}"
177,53,demo,2025-10-18,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Carry require decision consider process town song.""}"
178,54,email,2025-04-05,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Site recently difficult environment statement form brother.""}"
179,54,email,2025-04-11,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Item actually industry change white.""}"
180,54,email,2025-04-21,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Fly success turn pick effort see shake.""}"
181,54,meeting,2025-04-25,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Image people laugh nor.""}"
182,55,meeting,2025-06-07,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Fine sport pick picture.""}"
183,56,call,2026-01-30,"{""call_duration"": 345, ""outcome"": ""positive"", ""notes"": ""Trial room customer beyond time or marriage design.""}"
184,56,meeting,2026-02-09,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Market individual agent view century rock.""}"
185,56,meeting,2026-02-11,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Quite push season important discuss note.""}"
186,57,demo,2026-03-12,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Action artist already military community source radio.""}"
187,57,meeting,2026-03-16,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""National likely understand term.""}"
188,57,demo,2026-03-20,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Reflect sort end central when different.""}"
189,57,email,2026-03-21,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Contain child fire three federal.""}"
190,58,meeting,2026-01-14,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Some person surface financial herself at product.""}"
191,58,meeting,2026-01-24,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Wish well arm brother wide police.""}"
192,58,email,2026-01-27,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Describe physical minute employee.""}"
193,59,call,2025-12-04,"{""call_duration"": 234, ""outcome"": ""neutral"", ""notes"": ""Car media reality middle.""}"
194,59,call,2025-12-13,"{""call_duration"": 118, ""outcome"": ""neutral"", ""notes"": ""Life manage vote lot.""}"
195,59,demo,2025-12-15,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Light possible two cell.""}"
196,59,email,2025-12-19,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Protect kind out important only safe grow.""}"
197,59,meeting,2025-12-20,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Gas myself set develop Democrat know central person.""}"
198,59,demo,2025-12-27,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Section decide gas.""}"
199,59,email,2025-12-29,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""North generation local education control early.""}"
200,60,meeting,2025-03-28,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Body remember address lead kitchen everyone check.""}"
201,61,email,2025-04-26,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Face clearly learn article allow improve five.""}"
202,61,meeting,2025-05-06,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Agent wish business management ahead enjoy early.""}"
203,61,demo,2025-05-11,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Will space subject.""}"
204,61,email,2025-05-16,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Other position form hit always.""}"
205,61,call,2025-05-19,"{""call_duration"": 568, ""outcome"": ""negative"", ""notes"": ""Computer kitchen gun purpose hour.""}"
206,62,meeting,2025-06-12,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Age room rather similar thousand manage return.""}"
207,63,meeting,2025-04-09,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Next throw which wait nice with sit.""}"
208,63,demo,2025-04-13,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Thousand state deal cost rate rather.""}"
209,63,email,2025-04-19,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Purpose tough technology wonder fire face purpose across.""}"
210,63,demo,2025-04-27,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Near nothing only.""}"
211,63,demo,2025-05-06,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Among young successful institution smile most.""}"
212,63,meeting,2025-05-11,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Others person fall action enjoy speak.""}"
213,63,demo,2025-05-19,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Knowledge both seven stuff wait table piece.""}"
214,64,demo,2025-09-22,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Bank however trial near mission fast.""}"
215,64,email,2025-09-27,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Before source after travel.""}"
216,65,call,2026-01-27,"{""call_duration"": 298, ""outcome"": ""positive"", ""notes"": ""Most result home choose.""}"
217,65,demo,2026-01-29,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Even various including assume hold.""}"
218,65,demo,2026-02-08,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Give happy budget perhaps.""}"
219,66,meeting,2026-02-26,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Above Mrs morning push recent throughout world since.""}"
220,66,email,2026-03-05,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Class continue walk senior worry treat trial model.""}"
221,66,meeting,2026-03-09,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Treatment after could dinner contain I say.""}"
222,67,email,2026-01-26,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Care but reflect.""}"
223,67,demo,2026-01-30,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Education effort bill listen learn student difference current.""}"
224,67,demo,2026-02-02,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Adult father should rock few her drug hundred.""}"
225,67,demo,2026-02-10,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Understand anything possible condition because back.""}"
